ID,Name,Activity,Start,Finish,PGMA,System,MU
,"EPC Package for Talcher Thermal Power Project, Stage-III (2X660MW)",,2022-09-27,2026-09-25,,,
,Zero Date of Project,MIL,2022-09-27,2022-09-27,,,
,Milestones/ as per Work Schedule,MIL,2022-10-27,2026-09-25,,,
,Milestones: Basic Engineering,MIL,2022-10-27,2023-02-23,,,
,Milestones: Detailed Engineering,MIL,2022-12-26,2024-02-18,,,
,Milestone: Commencement of Manufacturing,MIL,2023-03-25,2023-03-25,,,
,Ordering of Major BOIs0,MIL,2023-03-26,2023-09-21,,,
,Milestone: COMPLETION of Ordering of Balance BOIs,MIL,2025-01-21,2025-01-21,,,
,Milestone: Establishment of Storage & pre-assembly yard,MIL,2023-01-30,2023-05-29,,,
,Milestones: Supply of foundation materials for Boiler and Bunker Structures ,MIL,2023-03-29,2023-03-29,,,
,Milestones: Commencement of supplies of Structures & Main Equipment,MIL,2023-06-28,2023-06-28,,,
,Milestones: Boiler Erection Start,MIL,2023-09-26,2023-09-26,,,
,Milestones: Ceiling Girder Lifting,MIL,2024-07-25,2024-07-25,,,
,Milestones: Drainable Hydro Test ,MIL,2025-07-26,2025-07-26,,,
,Milestones: Non Drainable Hydro test Readiness,MIL,2025-11-29,2025-11-29,,,
,Milestones: Supply of Critical piping,MIL,2025-05-30,2025-05-30,,,
,Milestones: Pre-Assembly/Erection of Critical piping,MIL,2024-08-04,2026-01-25,,,
,Milestones: C&I  readiness for Boiler Light up,MIL,2026-01-19,2026-01-19,,,
,Milestones: Boiler Light up & Chemical Cleaning,MIL,2026-01-26,2026-01-26,,,
,Milestones: Supply of Coal Mills ,MIL,2023-10-27,2024-10-20,,,
,Milestones: Steam Blowing start with Coal,MIL,2026-02-27,2026-02-27,,,
,Milestones: Steam Blowing COMPLETION with Coal,MIL,2026-03-26,2026-03-26,,,
,Milestones: Condenser Erection start,MIL,2024-07-31,2024-07-31,,,
,Milestones: Turbine Erection start,MIL,2024-08-07,2024-08-07,,,
,Milestones: Generator Stator lifting,MIL,2025-04-07,2025-04-07,,,
,Milestone: Supply of CW Puddle flange,MIL,2024-03-19,2024-03-19,,,
,Milestone: Supply of TG Embedment,MIL,2023-12-25,2023-12-25,,,
,Milestone: Supply of EOT Crane,MIL,2024-02-11,2024-02-11,,,
,Milestones: Turbine Box up,MIL,2025-09-25,2025-09-25,,,
,Milestone: Turbine Oil flushing COMPLETION,MIL,2025-11-25,2025-11-25,,,
,Milestones: Turbine on Barring gear,MIL,2026-01-26,2026-01-26,,,
,Milestones: Synchronization on Coal,MIL,2026-05-26,2026-05-26,,,
,Milestones: Full Load operation,MIL,2026-06-25,2026-06-25,,,
,Milestones: COMPLETION of Trial Operation & PG test,MIL,2026-06-25,2026-07-24,,,
,Milestones: COMPLETION of Major supplies,MIL,2026-01-11,2026-01-11,,,
,Milestones: COMPLETION of all Supplies,MIL,2026-02-09,2026-02-09,,,
,Milestones: COMPLETION of site delivery of all mandatory spares,MIL,2025-12-09,2025-12-09,,,
,Milestones: COMPLETION of Facilities,MIL,2026-09-25,2026-09-25,,,
,Readiness of Major Civil Foundation,CIV,2023-06-27,2025-07-27,,,PSWR
,Readiness of Major Civil Foundation: Boiler Foundation,CIV,2023-09-25,2023-09-25,,,PSWR
,Readiness of Major Civil Foundation: ESP Foundation,CIV,2023-12-22,2023-12-22,,,PSWR
,Readiness of Major Civil Foundation: Commencement of Excavation for TG Building,CIV,2023-06-27,2023-06-27,,,PSWR
